,0
529,Arhgap6
530,Mid1
531,Pkia
532,Stmn2
533,Hey1
534,Zbtb10
535,Zfp704
536,Pag1
537,Fabp5
538,Fabp4
539,Car2
540,Bhlhe22
541,Cyp7b1
542,Crh
543,Cp
544,Hps3
545,Nceh1
546,Tnfsf10
547,Tmem212
548,Pld1
549,Mecom
550,Gpr160
551,Cldn11
552,Gnb4
553,Pex5l
554,Anxa5
555,Trpc3
556,Fat4
557,Pcdh18
558,Slc7a11
559,Elf2
560,Maml3
561,Foxo1
562,Lhfp
563,Trpc4
564,Dclk1
565,Nbea
566,Tm4sf1
567,Wwtr1
568,Ankub1
569,Rnf13
570,Pfn2
571,P2ry14
572,P2ry13
573,P2ry12
574,Igsf10
575,Arhgef26
576,Gpr149
577,Tiparp
578,Lxn
579,Smc4
580,Bche
581,Serpini1
582,Golim4
583,Fstl5
584,Fnip2
585,Rxfp1
586,Gria2
587,Ctso
588,Map9
589,Rbm46
590,Tlr2
591,Fbxw7
592,Fcrls
593,Fcrl1
594,Pear1
595,Nes
596,Bcan
597,Hapln2
598,Paqr6
599,Syt11
600,Trim46
601,Efna1
602,Pbxip1
603,Adar
604,She
605,Il6ra
606,Slc39a1
607,S100a3
608,S100a4
609,S100a6
610,S100a8
611,S100a9
612,S100a11
613,S100a10
614,Riiad1
615,Tnfaip8l2
616,Sema6c
617,Ctss
618,Adamtsl4
619,Ecm1
620,Tars2
621,Car14
622,Plekho1
623,Sv2a
624,Fcgr1
625,Txnip
626,Itga10
627,Ankrd35
628,Prkab2
629,Notch2
630,Hmgcs2
631,Phgdh
632,Tbx15
633,Fam46c
634,Cd101
635,Ptgfrn
636,Atp1a1
637,Casq2
638,Tspan2
639,Dennd2c
640,Syt6
641,Olfml3
642,Ptpn22
643,Magi3
644,Slc16a1
645,Rhoc
646,Tmigd3
647,Chil3
648,Cd53
649,Slc16a4
650,Slc6a17
651,Strip1
652,Csf1
653,Gstm5
654,Gstm6
655,Gstm1
656,Fam102b
657,Vav3
658,Ntng1
659,Col11a1
660,Olfm3
661,S1pr1
662,Vcam1
663,Gpr88
664,Cdc14a
665,Sass6
666,Frrs1
667,Palmd
668,Alg14
669,F3
670,Arhgap29
671,Bcar3
672,Fnbp1l
673,Pde5a
674,Usp53
675,Synpo2
676,Prss12
677,Ndst3
678,Ndst4
679,Ugt8a
680,Alpk1
681,Enpep
682,Col25a1
683,Etnppl
684,Lef1
685,Sgms2
686,Npnt
687,Slc9b2
688,Slc39a8
689,Bank1
690,Emcn
691,Ddit4l
692,Bmpr1b
693,Gbp5
694,Gbp7
695,Gbp3
696,Gbp2
697,Lmo4
698,Cyr61
699,Ssx2ip
700,Spata1
701,Ttll7
702,Adgrl2
703,Adgrl4
704,Ifi44
705,Pigk
706,St6galnac5
707,St6galnac3
708,Slc44a5
709,Negr1
710,Cth
711,Rpe65
712,Lyn
713,Plag1
714,Penk
715,Car8
716,Chd7
717,Trp53inp1
718,Rad54b
719,Gem
720,Runx1t1
721,Necab1
722,Calb1
723,Mmp16
724,Ttpa
725,Nkain3
726,Pou3f2
727,Fut9
728,Epha7
729,Cnr1
730,Lingo2
731,Ddx58
732,Tmem215
733,B4galt1
734,Ccl27a
735,Phf24
736,Unc13b
737,Cd72
738,Tpm2
739,Tmem8b
740,Hrct1
741,Reck
742,Igfbpl1
743,Trim14
744,Gabbr2
745,Col15a1
746,Tgfbr1
747,Tmeff1
748,Grin3a
749,Smc2
750,Abca1
751,Slc44a1
752,Klf4
753,Frrs1l
754,Ptpn3
755,Palm2
756,Slc31a1
757,Rgs3
758,Col27a1
759,Akna
760,Whrn
761,Tnc
762,Ptprd
763,Lurap1l
764,Nfib
765,Plin2
766,Acer2
767,Slc24a2
768,Mllt3
769,Cdkn2b
770,Elavl2
771,Tek
772,Jun
773,Hook1
774,Nfia
775,Lepr
776,Pde4b
777,Acot11
778,Lrp8
779,Tal1
780,Mknk1
781,Nsun4
782,Pik3r3
783,Ccdc163
784,Btbd19
785,Tie1
786,Slc2a1
787,Zfp691
788,Rims3
789,Zfp69
790,Mfsd2a
791,Hpcal4
792,Heyl
793,Fhl3
794,Cdca8
795,Csf3r
796,Eva1b
797,Sh3d21
798,Ago4
799,Ncdn
800,Zmym1
801,Gja4
802,Tlr12
803,Hpca
804,Marcksl1
805,Lck
806,Fam167b
807,Adgrb2
808,Tinagl1
809,Sdc3
810,Laptm5
811,Ptpru
812,Phactr4
813,Ptafr
814,Themis2
815,Fgr
816,Map3k6
817,Trnp1
818,Sfn
819,Zdhhc18
820,Hmgn2
821,Cd52
822,Grrp1
823,Extl1
824,Stmn1
825,Ldlrap1
826,Clic4
827,Myom3
828,Cnr2
829,Id3
830,Asap3
831,Luzp1
832,C1qb
833,C1qc
834,C1qa
835,Hspg2
836,Alpl
837,Ece1
838,Camk2n1
839,Nbl1
840,Atp13a2
841,Crocc
842,Arhgef19
843,Epha2
844,Fblim1
845,Dhrs3
846,Tnfrsf1b
847,Plod1
848,Dffa
849,Cort
850,Clstn1
851,Pik3cd
852,Slc25a33
853,Slc2a5
854,Errfi1
855,Plekhg5
856,Tnfrsf25
857,Chd5
858,Ajap1
859,Megf6
860,Prdm16
861,Hes5
862,Plch2
863,Gabrd
864,Tmem52
865,Tmem240
866,Vwa1
867,Tmem88b
868,Dvl1
869,Acap3
870,Tnfrsf4
871,Agrn
872,Isg15
873,Cdk6
874,Cdk14
875,Steap4
876,Abcb1a
877,Sema3d
878,Sema3e
879,Cacna2d1
880,Sema3c
881,Cd36
882,Gsap
883,Ccdc146
884,Napepld
885,Reln
886,Lhfpl3
887,Nos3
888,Crygn
889,Dpp6
890,Insig1
891,Cenpa
892,Emilin1
893,Slc30a3
894,Fosl2
895,Yes1
896,Slbp
897,Tacc3
898,Fgfr3
899,Nat8l
900,Zfyve28
901,Sh3bp2
902,Grk4
903,Rgs12
904,Adra2c
905,Htra3
906,Sh3tc1
907,Crmp1
908,Nsg1
909,C1qtnf7
910,Cd38
911,Fgfbp1
912,Prom1
913,Ldb2
914,Qdpr
915,Ncapg
916,Slit2
917,Kcnip4
918,Sod3
919,Lgi2
920,Pi4k2b
921,Stim2
922,Arap2
923,Nwd2
924,Rell1
925,Tlr1
926,Tmem156
927,Rhoh
928,Rbm47
929,Uchl1
930,Kctd8
931,Gabra2
932,Gabrb1
933,Txk
934,Tec
935,Pdgfra
936,Kit
937,Kdr
938,Hopx
939,Igfbp7
940,Adgrl3
941,Tecrl
942,Epha5
943,Uba6
944,Slc4a4
945,Pf4
946,Cxcl1
947,Parm1
948,Art3
949,Cxcl10
950,Sept11
951,Anxa3
952,Bmp2k
953,Paqr3
954,Plac8
955,Hpse
956,Aff1
957,Spp1
958,Lrrc8c
959,Tgfbr3
960,Ephx4
961,Cplx1
962,Dgkq
963,Galnt9
964,Ulk1
965,Chek2
966,Ttc28
967,Miat
968,Cryba4
969,Crybb1
970,Myo18b
971,Crybb3
972,Sgsm1
973,Cmklr1
974,Tmem119
975,Selplg
976,Svop
977,Acacb
978,Kctd10
979,Trpv4
980,Git2
981,Oasl2
982,Cabp1
983,Pxn
984,Cit
985,Hspb8
986,Srrm4
987,Vsig10
988,Nos1
989,Tbx3os1
990,Tbx3
991,Slc8b1
992,Oas2
993,Rph3a
994,Aldh2
995,Acad12
996,Sh2b3
997,Cux2
998,Myl2
999,Hvcn1
1000,P2rx7
1001,Camkk2
1002,Pitpnm2
1003,Dnah10
1004,Scarb1
1005,Tmem132c
1006,Tmem132d
1007,Fzd10
1008,Rimbp2
1009,Phkg1
1010,Gusb
1011,Caln1
1012,Ncf1
1013,Lat2
1014,Eln
1015,Stx1a
1016,Mlxipl
1017,Srrm3
1018,Hspb1
1019,Sh2b2
1020,Col26a1
1021,Vgf
1022,Serpine1
1023,Trim56
1024,Ache
1025,Ephb4
1026,Actl6b
1027,Pcolce
1028,Tsc22d4
1029,Pilra
1030,Gjc3
1031,Gpr146
1032,Gper1
1033,Lfng
1034,Ttyh3
1035,Sdk1
1036,Radil
1037,Mmd2
1038,Actb
1039,Cyth3
1040,Tecpr1
1041,Tmem130
1042,Trrap
1043,Rasl11a
1044,Lnx2
1045,Pan3
1046,Flt1
1047,Slc46a3
1048,Slc7a1
1049,Alox5ap
1050,Hsph1
1051,Fry
1052,Kl
1053,Samd9l
1054,Gng11
1055,Col1a2
1056,Pon3
1057,Dlx6os1
1058,Dlx5
1059,Tac1
1060,Nxph1
1061,Thsd7a
1062,Foxp2
1063,Mdfic
1064,Tes
1065,Cav2
1066,Cav1
1067,Cttnbp2
1068,Kcnd2
1069,Cped1
1070,Ptprz1
1071,Cadps2
1072,Gpr37
1073,Grm8
1074,Prrt4
1075,Impdh1
1076,Kcp
1077,Irf5
1078,Podxl
1079,Cald1
1080,Tmem140
1081,Slc13a4
1082,Fam180a
1083,Chrm2
1084,Ptn
1085,Zc3hav1
1086,Tbxas1
1087,Parp12
1088,Kdm7a
1089,Clec5a
1090,Cntnap2
1091,Rarres2
1092,Gimap8
1093,Gimap4
1094,Gimap6
1095,Gimap5
1096,Tmem176a
1097,Gpnmb
1098,Npy
1099,Osbpl3
1100,Tril
1101,Nod1
1102,Ggct
1103,Adcyap1r1
1104,Neurod6
1105,Herc6
1106,Abcg2
1107,Nap1l5
1108,Fam13a
1109,Snca
1110,Hpgds
1111,Ndnf
1112,Prdm5
1113,Cd8b1
1114,Reep1
1115,Vamp5
1116,Capg
1117,Tmsb10
1118,Dnah6
1119,Lrrtm4
1120,Eva1a
1121,Hk2
1122,Dqx1
1123,Sfxn5
1124,Egr4
1125,Tprkb
1126,Add2
1127,Asprv1
1128,Mxd1
1129,Anxa4
1130,Gkn3
1131,Arhgap25
1132,Gp9
1133,H1fx
1134,Gata2
1135,Mgll
1136,Podxl2
1137,Aldh1l1
1138,Iqsec1
1139,Fbln2
1140,Slc6a6
1141,Fgd5
1142,Trh
1143,Adamts9
1144,Lrig1
1145,Fam19a1
1146,Eogt
1147,Foxp1
1148,Gpr27
1149,Pdzrn3
1150,Chl1
1151,Itpr1
1152,Bhlhe40
1153,Edem1
1154,Grm7
1155,Lmcd1
1156,Lhfpl4
1157,Cpne9
1158,Brpf1
1159,Ttll3
1160,Atp2b2
1161,Slc6a11
1162,Slc6a1
1163,Syn2
1164,Plxnd1
1165,Alox5
1166,Rassf4
1167,Tmem72
1168,Cxcl12
1169,Rasgef1a
1170,Ret
1171,Cacna1c
1172,Il17ra
1173,Cecr2
1174,Slc25a18
1175,Usp18
1176,Slc6a13
1177,Iqsec3
1178,A2m
1179,Mfap5
1180,Apobec1
1181,C3ar1
1182,Clec4a1
1183,Clec4a3
1184,Clec4a2
1185,Clec4n
1186,Clec4d
1187,Cd163
1188,Clstn3
1189,C1s1
1190,Ptpn6
1191,Eno2
1192,Cdca3
1193,Lag3
1194,Vamp1
1195,Cd27
1196,Ltbr
1197,Cd9
1198,Vwf
1199,Kcna1
1200,Ccnd2
1201,Prmt8
1202,Clec2i
1203,Clec2d
1204,Clec1a
1205,Klre1
1206,Klrd1
1207,Klrk1
1208,Klra2
1209,Cdkn1b
1210,Apold1
1211,Emp1
1212,Grin2b
1213,Hist4h4
1214,Mgp
1215,Arhgdib
1216,Eps8
1217,Mgst1
1218,Lmo3
1219,Pde3a
1220,Slco1c1
1221,Slco1a4
1222,Kcnj8
1223,Abcc9
1224,Sox5
1225,Lrmp
1226,Lmntd1
1227,Bhlhe41
1228,Itpr2
1229,Arntl2
1230,Ppfibp1
1231,Rep15
1232,Far2
1233,Tmtc1
1234,Fam60a
1235,Dennd5b
1236,Prkcg
1237,Pirb
1238,Lair1
1239,Ttyh1
1240,Tnni3
1241,Syt5
1242,Tmem238
1243,Peg3
1244,Slc8a2
1245,Dhx34
1246,C5ar2
1247,C5ar1
1248,Npas1
1249,Slc1a5
1250,Fkrp
1251,Prkd2
1252,Mill2
1253,Pglyrp1
1254,Fbxo46
1255,Gpr4
1256,Fosb
1257,Ercc2
1258,Relb
1259,Apoc1
1260,Apoe
1261,Bcam
1262,Bcl3
1263,Pvr
1264,Plaur
1265,Cd79a
1266,Atp1a3
1267,Grik5
1268,Pou2f2
1269,Tmem145
1270,Megf8
1271,Lipe
1272,Ceacam1
1273,Tgfb1
1274,Axl
1275,Ltbp4
1276,Sptbn4
1277,Blvrb
1278,Sertad1
1279,Pld3
1280,Ttc9b
1281,Zfp626
1282,Plekhg2
1283,Zfp36
1284,Sirt2
1285,Lgals4
1286,Rasgrp4
1287,Kcnk6
1288,Spint2
1289,Ppp1r14a
1290,Tyrobp
1291,Hcst
1292,Nfkbid
1293,Aplp1
1294,Proser3
1295,Kmt2b
1296,Mag
1297,Lsr
1298,Fxyd5
1299,Fxyd7
1300,Fxyd1
1301,Lgi4
1302,Hpn
1303,Wtip
1304,Cebpa
1305,Slc7a10
1306,Rhpn2
1307,Vstm2b
1308,Zfp715
1309,Cd33
1310,Siglece
1311,Klk8
1312,Klk6
1313,Clec11a
1314,Josd2
1315,Atf5
1316,Rras
1317,Fcgrt
1318,Flt3l
1319,Slc17a7
1320,Dkkl1
1321,Tead2
1322,Cd37
1323,Lin7b
1324,Ftl1
1325,Ppp1r15a
1326,Rasip1
1327,Mamstr
1328,Lmtk3
1329,Emp3
1330,Abcc6
1331,Nomo1
1332,Abcc8
1333,Kcnc1
1334,Saa3
1335,Saa2
1336,Ldha
1337,Ptpn5
1338,Nell1
1339,Luzp2
1340,Siglech
1341,Gabrg3
1342,Gabrb3
1343,Atp10a
1344,Ndn
1345,Lrrk1
1346,Synm
1347,Igf1r
1348,Arrdc4
1349,Nr2f2
1350,Rgma
1351,Slco3a1
1352,Sv2b
1353,AU020206
1354,Klhl25
1355,Mfge8
1356,Abhd2
1357,Anpep
1358,Zfp710
1359,Prc1
1360,Fes
1361,Iqgap1
1362,Cpeb1
1363,Tm6sf1
1364,Adamtsl3
1365,Il16
1366,Cemip
1367,Grm5
1368,Ctsc
1369,Fzd4
1370,Prss23
1371,Picalm
1372,Gab2
1373,Thrsp
1374,Aqp11
1375,Serpinh1
1376,Gdpd5
1377,Arrb1
1378,Slco2b1
1379,Rnf169
1380,Pgm2l1
1381,Ucp3
1382,Ucp2
1383,Arhgef17
1384,P2ry6
1385,Fchsd2
1386,Pde2a
1387,Folr2
1388,Folr1
1389,Olfr558
1390,Trim6
1391,Trim34a
1392,Trim5
1393,Trim12a
1394,Trim12c
1395,Trim30b
1396,Trim30a
1397,Trim30d
1398,Cckbr
1399,Dnhd1
1400,Scube2
1401,Adm
1402,Ampd3
1403,Mrvi1
1404,Galnt18
1405,Dkk3
1406,Mical2
1407,Tead1
1408,Spon1
1409,Pde3b
1410,Calca
1411,Sox6
1412,Xylt1
1413,Smg1
1414,Itpripl2
1415,Tmc7
1416,Ccp110
1417,Dcun1d3
1418,Lyrm1
1419,Dnah3
1420,Crym
1421,Vwa3a
1422,Polr3e
1423,Igsf6
1424,Hs3st2
1425,Cacng3
1426,Hs3st4
1427,Il4ra
1428,Il21r
1429,Lat
1430,Nupr1
1431,Sult1a1
1432,Coro1a
1433,Gdpd3
1434,Tbx6
1435,Fam57b
1436,Kctd13
1437,Sez6l2
1438,AI467606
1439,Qprt
1440,Fbxl19
1441,Stx1b
1442,Pycard
1443,Itgad
1444,Cox6a2
1445,Rgs10
1446,Htra1
1447,Gpr26
1448,Edrf1
1449,Adam12
1450,Mki67
1451,Mgmt
1452,Ebf3
1453,Pwwp2b
1454,Nkx6-2
1455,Adam8
1456,Caly
1457,Cyp2e1
1458,Ifitm2
1459,Ifitm1
1460,Ifitm3
1461,Ifitm6
1462,B4galnt4
1463,Sigirr
1464,Rnh1
1465,Irf7
1466,Eps8l2
1467,Slc25a22
1468,Cracr2b
1469,Cd151
1470,Mob2
1471,Ifitm10
1472,Ctsd
1473,Tnni2
1474,Lsp1
1475,Igf2
1476,Tspan32
1477,Cdkn1c
1478,Ano1
1479,Ccnd1
1480,Tpcn2
1481,Plekhg1
1482,Akap12
1483,Myct1
1484,Vip
1485,Lrp11
1486,Sash1
1487,Rab32
1488,Grm1
1489,Utrn
1490,Phactr2
1491,Hivep2
1492,Cited2
1493,Nhsl1
1494,Perp
1495,Ifngr1
1496,Pde7b
1497,Ahi1
1498,Sgk1
1499,Slc2a12
1500,Ctgf
1501,Arg1
1502,Epb41l2
1503,L3mbtl3
1504,Lama2
1505,Ptprk
1506,Rspo3
1507,Hey2
1508,Dse
1509,Frk
1510,Marcks
1511,Lama4
1512,Fyn
1513,Cdk19
1514,Mical1
1515,Cd24a
1516,Prdm1
1517,Lilrb4a
1518,Pln
1519,Mcm9
1520,Man1a
1521,Gja1
1522,Hsf2
1523,Pkib
1524,Fabp7
1525,Sept10
1526,Ddit4
1527,Spock2
1528,Cdh23
1529,Unc5b
1530,Pald1
1531,Nodal
1532,Col13a1
1533,Srgn
1534,Rhobtb1
1535,Ank3
1536,Slc16a9
1537,Bicc1
1538,Pcdh15
1539,Bcr
1540,Adora2a
1541,Ggt1
1542,Ggt5
1543,Gstt2
1544,Chchd10
1545,S100b
1546,Col6a1
1547,Slc19a1
1548,Itgb2
1549,Lrrc3
1550,Trpm2
1551,Icosl
1552,Cstb
1553,Pdxk
1554,Syde1
1555,Bsg
1556,Hcn2
1557,Palm
1558,Cnn2
1559,Abca7
1560,Sbno2
1561,Adamtsl5
1562,Gadd45b
1563,Matk
1564,Pip5k1c
1565,Tbxa2r
1566,Mfsd12
1567,Celf5
1568,S1pr4
1569,Gna15
1570,Appl2
1571,Nuak1
1572,Rfx4
1573,Btbd11
1574,Timp3
1575,Igf1
1576,Pmch
1577,Rmst
1578,Cfap54
1579,Cdk17
1580,Elk3
1581,Ntn4
1582,Fgd6
1583,Socs2
1584,Btg1
1585,Dcn
1586,Lum
1587,Dusp6
1588,Kitl
1589,Mgat4c
1590,Nts
1591,Rassf9
1592,Lrriq1
1593,Tmtc2
1594,Lin7a
1595,Syt1
1596,Nav3
1597,Csrp2
1598,Phlda1
1599,Kcnc2
1600,Trhde
1601,Ptprr
1602,Ptprb
1603,Lyz2
1604,Grip1
1605,Rassf3
1606,Ppm1h
1607,Fam19a2
1608,Agap2
1609,Slc26a10
1610,Arhgef25
1611,Stac3
1612,Ndufa4l2
1613,Lrp1
1614,Tac2
1615,Zbtb39
1616,Timeless
1617,Stat2
1618,Pan2
1619,Myl6b
1620,Esyt1
1621,Cdk2
1622,Dgka
1623,Rdh5
1624,Insr
1625,Pnpla6
1626,Stxbp2
1627,Mcemp1
1628,Fcer2a
1629,Cers4
1630,Efnb2
1631,Fam155a
1632,Col4a1
1633,Col4a2
1634,Mcf2l
1635,F10
1636,Tdrp
1637,Kbtbd11
1638,Csmd1
1639,Angpt2
1640,Thsd1
1641,Plat
1642,Zmat4
1643,Adgra2
1644,Rab11fip1
1645,Unc5d
1646,Rbpms
1647,Ppp1r3b
1648,Mfhas1
1649,Dlc1
1650,Sgcz
1651,Tusc3
1652,Msr1
1653,Slc7a2
1654,Mtus1
1655,Tlr3
1656,Sorbs2
1657,Pdlim3
1658,Ankrd37
1659,Enpp6
1660,Cldn22
1661,Tenm3
1662,Hpgd
1663,Scrg1
1664,Hmgb2
1665,Palld
1666,Ddx60
1667,Spock3
1668,Cpe
1669,Tma16
1670,Npy5r
1671,Npy1r
1672,Nat1
1673,Lpl
1674,Lzts1
1675,Atp13a1
1676,Hapln4
1677,Ncan
1678,Homer3
